playerID,nameFirst,nameLast,bbrefID,mlbamID,pos
vanasri01,Ricky,Vanasco,vanasri01,676568,P
arrigsp01,Spencer,Arrighetti,arrigsp01,681293,P
blossja01,Jake,Bloss,blossja01,814005,P
contrlu01,Luis,Contreras,contrlu01,664351,P
dezenza01,Zach,Dezenzo,dezenza01,701305,LF
henlebl01,Blair,Henley,henlebl01,668874,P
kingbr02,Bryan,King,kingbr02,687911,P
leonpe01,Pedro,León,leonpe01,694175,RF
whitcsh01,Shay,Whitcomb,whitcsh01,694376,SS
whitlfo01,Forrest,Whitley,whitlfo01,666215,P
alexacj01,CJ,Alexander,alexacj01,680769,3B
gentrty01,Tyler,Gentry,gentrty01,694355,RF
sauerma01,Matt,Sauer,sauerma01,669422,P
caspabe01,Ben,Casparius,caspabe01,676508,P
feduchu01,Hunter,Feduccia,feduchu01,676439,C
henried01,Edgardo,Henriquez,henried01,683618,P
knackla01,Landon,Knack,knackla01,689017,P
pagesan01,Andy,Pages,pagesan01,681624,CF
ryanri01,River,Ryan,ryanri01,689981,P
wroblju01,Justin,Wrobleski,wroblju01,680736,P
yamamyo01,Yoshinobu,Yamamoto,yamamyo01,808967,P
bakerda02,Darren,Baker,bakerda02,671117,2B
brzykza01,Zach,Brzykcy,brzykza01,694350,P
chapaan01,Andrés,Chaparro,chapaan01,665953,1B
crewsdy01,Dylan,Crews,crewsdy01,686611,RF
herzdj01,DJ,Herz,herzdj01,687792,P
lipsctr01,Trey,Lipscomb,lipsctr01,702358,3B
nunezna01,Nasim,Nuñez,nunezna01,683083,SS
parkemi01,Mitchell,Parker,parkemi01,680730,P
ribalor01,Orlando,Ribalta,ribalor01,687377,P
woodja03,James,Wood,woodja03,695578,LF
acunajo01,Luisangel,Acuña,acunajo01,682668,SS
nunezde01,Dedniel,Núñez,nunezde01,673380,P
orzeer01,Eric,Orze,orzeer01,679358,P
scottch01,Christian,Scott,scottch01,681035,P
alvarel01,Elvis,Alvarado,alvarel01,665660,P
avansdr01,Drew,Avans,avansdr01,682183,LF
barnema02,Mason,Barnett,barnema02,686930,P
clarkde02,Denzel,Clarke,clarkde02,672016,CF
corteca01,Carlos,Cortes,corteca01,666126,LF
davidlo01,Logan,Davidson,davidlo01,669722,1B
duranca01,Carlos,Duran,duranca01,679922,P
hoglugu01,Gunnar,Hoglund,hoglugu01,680684,P
