yearID,teamID,playerID,first,last,games
2022,WAS,cruzne02,2022-04-07,2022-09-13,124
2022,PIT,cruzon01,2022-06-20,2022-10-05,87
2022,KCA,cuasjo01,2022-05-31,2022-09-25,47
2022,CHA,cuetojo01,2022-05-16,2022-10-03,25
2022,TEX,culbech01,2022-04-10,2022-10-05,70
2022,CLE,curryxz01,2022-08-15,2022-09-03,2
2022,PHI,cyrty01,2022-08-21,2022-08-21,1
2022,OAK,cyrty01,2022-09-07,2022-10-04,11
2022,BOS,dalbebo01,2022-04-08,2022-10-05,117
2022,BOS,danisty01,2022-04-20,2022-09-30,32
2022,ATL,darnatr01,2022-04-07,2022-10-04,107
2022,SDN,darviyu01,2022-04-07,2022-09-30,30
2022,BOS,davisau01,2022-04-09,2022-08-28,50
2022,MIN,davisau01,2022-09-05,2022-09-07,2
2022,DET,davisbr04,2022-10-01,2022-10-05,3
2022,NYN,davisjd01,2022-04-07,2022-08-01,66
2022,SFN,davisjd01,2022-08-03,2022-10-05,49
2022,MIL,davisjo05,2022-06-18,2022-08-26,37
2022,BOS,davisja03,2022-04-30,2022-08-13,12
2022,ARI,davidma02,2022-04-21,2022-04-30,5
2022,OAK,davidma02,2022-06-07,2022-06-17,8
2022,COL,davisno01,2022-10-05,2022-10-05,1
2022,ATL,davidtu01,2022-04-11,2022-05-28,4
2022,ANA,davidtu01,2022-08-07,2022-10-02,8
2022,ARI,davieza01,2022-04-09,2022-10-02,27
2022,CIN,dawsoro01,2022-05-05,2022-05-05,1
2022,COL,dazayo01,2022-04-10,2022-10-03,113
2022,SFN,deanau01,2022-09-09,2022-09-11,3
2022,NYN,degroja01,2022-08-02,2022-09-30,11
2022,DET,dejesan01,2022-04-23,2022-09-29,8
2022,PIT,dejonch01,2022-04-22,2022-10-04,42
2022,SLN,dejonpa01,2022-04-07,2022-10-05,77
2022,MIA,delacbr01,2022-04-09,2022-10-05,115
2022,PIT,delayja01,2022-06-14,2022-10-05,57
2022,CLE,delosen01,2022-04-20,2022-10-05,50
2022,PIT,delosye01,2022-05-25,2022-08-11,26
2022,SLN,deluzbe01,2022-09-02,2022-10-05,22
2022,ATL,demertr01,2022-04-22,2022-05-27,26
2022,CHN,dermoma01,2022-08-04,2022-08-04,1
2022,SFN,desclan01,2022-04-10,2022-06-26,5
2022,ANA,detmere01,2022-04-08,2022-09-30,25
2022,CIN,detwiro01,2022-05-14,2022-08-29,30
2022,ARI,devench02,2022-07-29,2022-08-23,10
2022,PHI,devench02,2022-09-27,2022-10-04,3
2022,BOS,deverra01,2022-04-08,2022-10-05,141
2022,HOU,diazal02,2022-04-08,2022-10-05,92
2022,CIN,diazal03,2022-04-08,2022-10-04,59
2022,COL,diazel01,2022-04-08,2022-10-04,105
2022,NYN,diazed04,2022-04-07,2022-10-04,61
2022,ANA,diazjh01,2022-05-06,2022-06-10,4
2022,OAK,diazjo03,2022-09-18,2022-10-05,15
2022,MIA,diazle01,2022-06-17,2022-10-05,58
2022,DET,diazmi02,2022-09-30,2022-10-05,3
2022,TBA,diazya01,2022-04-08,2022-10-04,137
2022,BAL,diazyu01,2022-08-02,2022-08-02,1
2022,HOU,diazya02,2022-09-02,2022-09-28,6
2022,ATL,dickeal01,2022-04-07,2022-04-27,13
2022,SLN,dickeco01,2022-04-09,2022-10-05,97
2022,CIN,diehlph01,2022-04-27,2022-05-07,5
2022,BOS,diekmja01,2022-04-08,2022-07-30,44
2022,CHA,diekmja01,2022-08-02,2022-10-05,26
2022,ARI,difowi01,2022-09-02,2022-09-10,3
2022,BAL,diplama01,2022-04-18,2022-05-31,5
2022,SDN,dixonbr01,2022-09-29,2022-10-05,5
2022,PHI,dominse01,2022-04-08,2022-10-04,54
2022,NYA,donaljo02,2022-04-08,2022-10-05,132
2022,SLN,donovbr01,2022-04-25,2022-10-05,126
2022,WAS,doolise01,2022-04-08,2022-04-19,6
